City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,akureyri,65.6835,-18.0878,273.11,64,100,3.6,IS,1682458437
286,walvis bay,-22.9575,14.5053,291.68,77,0,5.14,NA,1682458438
287,macusani,-14.0833,-70.4333,279.1,80,94,2.79,PE,1682458438
288,ilulissat,69.2167,-51.1,274.16,93,100,1.54,GL,1682458438
289,guerrero negro,27.9769,-114.0611,292.89,55,0,7.28,MX,1682458260
290,kayangel,8.0823,134.7173,301.58,73,27,3.16,PW,1682458439
291,rawai,7.7797,98.3253,298.21,75,93,2.13,TH,1682458439
292,constantia,44.1833,28.65,284.65,95,100,3.32,RO,1682458440
293,namsos,64.4662,11.4957,273.18,93,100,1.03,NO,1682458440
294,kirakira,-10.4544,161.9205,301.29,72,92,2.42,SB,1682458440
295,fort bragg,35.139,-79.006,293.05,43,100,2.06,US,1682458441
296,son la,21.3167,103.9,291.2,92,95,1.2,VN,1682458441
297,maryville,35.7565,-83.9705,293.14,38,75,4.12,US,1682458219
298,mount isa,-20.7333,139.5,291.02,68,40,3.09,AU,1682458442
299,patti,31.2808,74.8572,296.19,29,40,2.57,IN,1682458442
300,mwingi,-0.9344,38.0601,292.47,96,100,1.0,KE,1682458442
301,ostersund,63.1792,14.6357,271.4,100,100,2.06,SE,1682458443
302,chabahar,25.2919,60.643,298.09,63,87,4.13,IR,1682458443
303,revda,56.801,59.9303,283.09,68,84,1.81,RU,1682458317
304,sisimiut,66.9395,-53.6735,274.2,98,100,1.03,GL,1682458444
305,port douglas,-16.4833,145.4667,297.84,81,97,7.45,AU,1682458445
306,shibata,37.95,139.3333,285.73,79,100,3.31,JP,1682458209
307,castillos,-34.1667,-53.8333,291.87,89,95,1.61,UY,1682458447
308,batticaloa,7.7102,81.6924,300.21,82,100,0.85,LK,1682458447
309,nykobing mors,56.7933,8.8528,278.78,66,5,12.29,DK,1682458448
310,narvik,68.4384,17.4272,274.82,64,100,3.45,NO,1682458448
311,fort mcmurray,56.7268,-111.381,279.92,75,100,3.09,CA,1682458421
312,gadzhiyevo,69.2551,33.3362,263.76,94,53,2.1,RU,1682458449
313,sao paulo de olivenca,-3.3783,-68.8725,298.18,86,92,0.84,BR,1682458449
314,jiuquan,39.7432,98.5174,281.76,42,67,2.57,CN,1682458449
315,bermeo,43.4209,-2.7215,291.06,77,100,2.26,ES,1682458450
316,nagqu,31.5,92.0,266.38,86,99,1.33,CN,1682458192
317,keflavik,64.0049,-22.5624,277.1,93,75,2.57,IS,1682458451
318,wynyard,-41.0,145.7167,283.69,84,3,1.8,AU,1682458166
319,urengoy,65.9667,78.3667,262.59,96,100,2.06,RU,1682458452
320,correntina,-13.3433,-44.6367,296.6,53,1,1.16,BR,1682458453
321,stephenville,32.2207,-98.2023,293.79,80,100,4.12,US,1682458269
322,batang,-6.4846,110.7083,298.51,83,84,2.26,ID,1682458453
323,khanty-mansiysk,61.0042,69.0019,275.21,64,0,2.0,RU,1682458455
324,mangai,-4.05,19.5333,294.59,97,51,0.25,CD,1682458455
325,galle,6.0367,80.217,299.25,84,100,1.29,LK,1682458457
326,lisala,2.15,21.5167,295.56,88,100,0.26,CD,1682458457
327,banda aceh,5.5577,95.3222,299.63,80,98,2.01,ID,1682458458
328,ponca city,36.707,-97.0856,283.13,90,100,3.6,US,1682458208
329,uenohara,35.6167,139.1167,285.2,96,100,1.67,JP,1682458459
330,muroto-misakicho,33.2833,134.15,292.12,95,100,10.25,JP,1682458461
331,la passe,45.5549,-0.8967,285.28,95,100,4.7,FR,1682458462
332,as saffaniyah,27.9708,48.73,298.86,41,89,4.51,SA,1682458462
333,cebu city,10.3167,123.8907,299.96,83,40,2.57,PH,1682458462
334,ola,59.5833,151.2833,272.77,77,99,2.99,RU,1682458463
335,laurel bay,32.4502,-80.7848,295.32,64,100,5.66,US,1682458463
336,anna regina,7.2644,-58.5077,297.59,90,100,2.29,GY,1682458464
337,swift current,50.2834,-107.8014,289.6,39,20,7.72,CA,1682458464
338,bilajer,40.5681,50.0378,288.05,82,20,3.09,AZ,1682458465
339,kijang,35.2442,129.2139,281.0,83,7,2.71,KR,1682458465
340,viet tri,21.3019,105.4308,293.12,85,100,1.47,VN,1682458465
